Label,Name,Text
10,Acompsia dimorpha, Acompsia dimorpha is a moth of the Gelechiidae family. It is found in the French and Spanish Pyrenees. The habitat consists of the alpine zone.The wingspan is 16–20 mm for males and 11–13 mm for females. The forewings of the males are greyish to black brown mottled with light yellow or light greyish scales. The hindwings are light grey. Forewing have black brown forewings mottled with yellow and light brown scales. The hindwings light grey but darker at the apex.
1,Sony Computer Entertainment, Sony Computer Entertainment Inc. (SCEI) (Japanese: 株式会社ソニー・コンピュータエンタテインメント) is a Japanese multinational video game company specializing in a variety of areas in the video game industry and is a wholly owned subsidiary and part of the Consumer Products & Services Group of Sony. The company was established on November 16 1993 in Tokyo Japan prior to the launch of the original PlayStation video game system.
5,Qiu Xuejun, Qiu Xuejun is a Chinese diplomat and government officer. He is Deputy Director-General of the Department of Consular Affairs of the Chinese Foreign Ministry.
6,HMAS Kuru, HMAS Kuru was an auxiliary patrol boat operated by the Royal Australian Navy (RAN) during World War II. Constructed in 1938 for the Northern Territory Patrol Service Kuru was requesitioned by the RAN following the Japanese declaration of war in December 1941. The ship operated from Darwin and was one of the vessels used to keep Allied troops in Timor resupplied following the Japanese invasion. Kuru operated until 1943 when she was damaged beyond repair in an accident.
13,Sexo pudor y lágrimas, Sexo pudor y lágrimas (Sex Shame and Tears) is a Mexican film the second of the so-called New Era of the Cinema of Mexico (the first one was Like Water for Chocolate). It was the first film directed by Antonio Serrano.The film is based on the successful play of the same name which ran for two consecutive years and was written by Serrano himself. After the film was released it broke box-office records in Mexico (118 million Mexican pesos roughly 10.9 million U.S.
12,Sincerely Dears..., Sincerely Dears... is Yukari Tamura's second compilation album released on March 28 2007. It contains a bonus DVD with a digest version of her 2006 concert tour *fancy baby doll* filmed in Tokyo and Fukuoka and a Special Photo Book.
10,Bellotti's goby, Gobius ater Bellotti's goby is a species of goby native to the Mediterranean Sea from the Balearic Islands and the Gulf of Lion to Nice and Sardinia. It occurs in shallow waters and lagoons where it prefers eelgrass beds. This species can reach a length of 7.1 centimetres (2.8 in) SL.
7,Pulver-Bird House, Pulver-Bird House is a historic home located at Stanford in Dutchess County New York. It was built in 1839 and has a two story center block with flanking one story wings in the Greek Revival style. It features a monumental tetrastyle portico supported by four Doric order columns. Also on the property is a frame ice house and frame barn.It was added to the National Register of Historic Places in 2008.
14,Already Dead, Already Dead is a 2005 pulp-noir / horror novel by Charlie Huston and published in 2005. This is the first of the Joe Pitt Casebooks.
5,John Baird 1st Viscount Stonehaven, John Lawrence Baird 1st Viscount Stonehaven GCMG DSO PC JP DL (27 April 1874 – 20 August 1941) known as Sir John Baird Bt between 1920 and 1925 and as The Lord Stonehaven between 1925 and 1928 was a British Conservative politician who served as a Member of Parliament government minister and was later the eighth Governor-General of Australia.
2,Ravenshaw Collegiate School, Ravenshaw Collegiate School is the oldest High School of Odisha which was established in 1851 by T E Ravenshaw in the District of Cuttack in Odisha India. It was one of three institutions founded by T E Ravenshaw the other two being the Ravenshaw Girls' School and the Ravenshaw College the latter now having become Ravenshaw University.
14,The Great Roxhythe, The Great Roxhythe is a novel written by Georgette Heyer. The book opens in 1668 & closes in 1685 and concerns the misadventures of a fictional spy loyal to Charles II.
8,Pâscov River, The Pâscov River is a tributary of the Ialomiţa River in Romania.
14,Mardock Scramble, Mardock Scramble (マルドゥック・スクランブル Marudokku Sukuranburu) is the name for a series of novels by Tow Ubukata which were later adapted into a manga series and a trilogy anime film series. The story is about a girl named Rune Ballot who was taken in by a man named Shell who later tried to kill her and left her for dead. She is saved and turned into a cyborg.
3,Salena Jones, Salena Jones (born Joan Elizabeth Shaw January 29 1944 in Newport News Virginia) is an American jazz and cabaret singer.
7,Pan American Life Center, The Pan American Life Building located at 601 Poydras Street in the Central Business District of New Orleans Louisiana is a 28-story 322 feet (98 m)-tall high-rise building. Designed by Skidmore Owings & Merrill it was built in 1980 as the headquarters for the Pan-American Life Insurance Co. In December 2006 Pan American sold the building to Equastone a California real estate company.
6,HMS Sandwich (1679), HMS Sandwich was a 90-gun second rate ship of the line of the Royal Navy launched in 1679 at Harwich.She underwent a rebuild at Chatham Dockyard from where she was relaunched on 21 April 1712 as a 90-gun second rate built to the 1706 Establishment. Sandwich was broken up in 1770.From March 1720 - November 1721 William Smellie who became a man-midwife and the 'master of British midwifery' 'it seems certain' was naval surgeon on HMS Sandwich.
3,Mohammed Abdel Wahab, Mohammed Abdel Wahab (Arabic: محمد عبد الوهاب‎) also transliterated Mohammed Abd el-Wahaab (March 13 1902 – May 4 1991) was a prominent 20th-century Arab Egyptian singer and composer. He composed the Ya Beladi (also known as Libya Libya Libya) the National anthem of Libya used by the Kingdom of Libya from 1951 to 1969 and again by the post-Gaddafi transitional government in 2011.
9,Hendelabad, Hendelabad (Persian: هندل اباد‎ also Romanized as Hendelābād; also known as Hamādīlābād and Handīlābād) is a village in Kenevist Rural District in the Central District of Mashhad County Razavi Khorasan Province Iran. At the 2006 census its population was 1294 in 331 families.
13,Kurathi Magan, Kurathi Magan is a Tamil language film starring Gemini Ganesan K.R. Vijaya Master Sridhar Jaichithra Introduced in the film Sailasri V.S. Raghavan Suruli Rajan and Kamal Haasan in a brief role. Muthuraman plays a cameo.
8,Kvichak River, The Kvichak River is a stream about 50 miles (80 km) long in southwestern Alaska in the United States. It flows southwest from Lake Iliamna to Kvichak Bay an arm of Bristol Bay on the Alaska Peninsula. The communities of Igiugig and Levelock lie along the Kvichak River.
4,Ed Henderson, Edward J. Henderson (December 25 1884 – January 15 1964) born Eugene Johnson Ball was a professional baseball pitcher. Henderson played for the Pittsburgh Rebels and the Indianapolis Hoosiers of the Federal League in 1914.
2,Corvallis High School (Oregon), Corvallis High School known as CHS is a four-year public secondary school in Corvallis Oregon United States.
2,Loften High School, The Professional Academies' Magnet @ Loften High School (or W. Travis Loften High School) is a public high school in Gainesville Florida in the United States. It is part of Alachua County School District and occupies a 174-acre (0.70 km2) campus in a medium-sized community.
2,Rye Neck High School, Rye Neck High School is a public secondary school located in the Village of Mamaroneck New York within the Town of Rye New York. It is part of the Rye Neck Union Free School District and is connected to Rye Neck Middle School.
1,Hrvatske autoceste, Hrvatske autoceste (HAC) or Croatian Motorways Ltd is a Croatian state-owned limited liability company tasked with management construction and maintenance of motorways in Croatia pursuant to provisions of the Croatian Public Roads Act (Croatian: Zakon o javnim cestama enacted by the Parliament of the Republic of Croatia.Tasks of the company are defined by Public Roads Act and its Founding Declaration and the principal task of the company is management construction and maintenance of the motorways. 
7,Hillhouse Avenue, Hillhouse Avenue described according to tradition by both Charles Dickens and Mark Twain as the most beautiful street in America is in New Haven Connecticut and is home to many nineteenth century mansions including the president's house at Yale University. Much of the avenue is included in the Hillhouse Avenue Historic District which extends to include houses on adjacent streets.
9,Kanthalad, Kanthalad is a village in Kozhikode district in the state of Kerala India.
4,Cora Alicto, Cora Alicto (Low)(born August 2 1980) is a track and field sprint athlete who competes internationally for Guam.Alicto represented Guam at the 2008 Summer Olympics in Beijing. She competed at the 100 metres sprint and placed seventh in her heat without advancing to the second round. She ran the distance in a time of 13.31 seconds.
12,Innocent Man (Mark Morrison album), Innocent Man is the third album released by British R&B musician Mark Morrison and released in the UK as a limited edition DVD release. It is the second full-length album release and follow up to Return of the Mack in 1996. In 1997 Mark Morrison released an EP entitled Only God Can Judge Me on Warner Bros.
14,Australian Mammalogy, Australian Mammalogy is a peer-reviewed scientific journal published by CSIRO Publishing on behalf of the Australian Mammal Society covering research about biology of mammals that are native or introduced to Australasia.The journal is abstracted by The Zoological Record Scopus GeoRef and Biological Abstracts.
8,Paroo River, Paroo River a series of waterholes connected in wet weather as a running stream of the Darling catchment within the Murray–Darling basin is located in the South West district of Queensland and Far West district of New South Wales Australia.The river rises in the gorge country of western Queensland and flows generally south and spreads into the vast floodplains of New South Wales eventually reaching the Paroo overflow lakes.
9,Krzycko Małe, Krzycko Małe [ˈkʂɨt͡skɔ ˈmawɛ] is a village in the administrative district of Gmina Święciechowa within Leszno County Greater Poland Voivodeship in west-central Poland. It lies approximately 6 kilometres (4 mi) north-west of Święciechowa 10 km (6 mi) north-west of Leszno and 65 km (40 mi) south-west of the regional capital Poznań.
8,Lac de Pierre-Châtel, Lac de Pierre-Châtel is a lake between Pierre-Châtel and Saint-Théoffrey in the Isère department of France. Its surface area is 1.4 km².In the North are the Lac de Petichet and the Grand lac de Laffrey.
1,Necropolitan Press, Necropolitan Press founded in 1993 by editor and author Jeffrey Thomas is an independent publisher in the genres of horror science-fiction dark fantasy and the Unclassifiable. Necropolitan Press ceased producing new releases in 2001.In March 2008 it was announced that Necropolitan Press would be resuming a publication schedule beginning with Paul G. Tremblay's The Harlequin & The Train novella.
12,The Conversation (Tim Finn album), The Conversation is the eighth solo album by New Zealand singer/songwriter Tim Finn. It was recorded in April and May 2008 and released in New Zealand on 24 November that year. The album features collaborations with former Split Enz members Eddie Rayner and Miles Golding along with Tim's guitarist Brett Adams. The album's working title was Echo Chamber. The album is produced by Ethan Allen known for his work with famed producer Daniel Lanois.
9,Łęka Mroczeńska, Łęka Mroczeńska [ˈwɛnka mrɔˈt͡ʂɛɲska] is a village in the administrative district of Gmina Baranów within Kępno County Greater Poland Voivodeship in west-central Poland. It lies approximately 5 kilometres (3 mi) south-west of Baranów 6 km (4 mi) south of Kępno and 149 km (93 mi) south-east of the regional capital Poznań.
3,Sharon Shinn, Sharon Shinn (born 1957) is an American novelist who writes combining aspects of fantasy science fiction and romance. She has published more than a dozen novels for adult and young adult readers. Her works include the Shifting Circles Series the Samaria Series the Twelve Houses Series and a rewriting of Jane Eyre Jenna Starborn. She works as a journalist in St. Louis Missouri and is a graduate of Northwestern University.Shinn is a die-hard St. Louis Cardinals and St.
2,National Institute of Technology Meghalaya, National Institute of Technology Meghalaya (Hindi:राष्ट्रीय प्रौद्योगिकी संस्थान मेघालय) also known as NIT Meghalaya or NITM is one of the 30 National Institutes of Technology situated in Shillong Meghalaya India. The classes of NIT Meghalaya were started in 2010 at the Sardar Vallabhbhai National Institute of Technology Surat.
11,Bursera microphylla, Bursera microphylla belongs to the family Burseraceae in the order Sapindales. Bursera microphylla known by the common name elephant tree in English or 'torote' in Spanish is a tree in genus Bursera. It grows into a distinctive sculptural form with a thickened water-storing or caudiciform trunk. It is narrowly distributed in the United States in the Anza-Borrego Desert State Park region and the Santa Rosa Mountains in Southern California as well as parts of Southwestern Arizona.
14,Riki-Oh, Riki-Oh (力王 Riki-Ō) is a manga which later adapted to two OVAs and a live-action film named Riki-Oh: The Story of Ricky. Created by Masahiko Takajo and Saruwatari Tetsuya the story is about a young man who has learned the art of Qigong from one of Chiang Kai Shek's bodyguards and has become so strong that he can literally punch holes through people and solid objects.
10,Coleophora santolinella, Coleophora santolinella is a moth of the Coleophoridae family. It is found in Spain and on Corsica and Sardinia.The larvae feed on Santolina chamaecyparissus. They create a lobe case of about 6 mm long. The case is covered by a large number of erect brownish yellow mined leaves. The mouth angle is 60-90°. Larvae can be found up to June.
9,Gugul, Gugul (Persian: گوگول‎ also Romanized as Gūgūl and Gowgal) is a village in Atrak Rural District Maneh District Maneh and Samalqan County North Khorasan Province Iran. At the 2006 census its population was 159 in 30 families.
13,Wandering Papas, Wandering Papas is a 1926 comedy film featuring Oliver Hardy and directed by Stan Laurel.
5,Robert B. Gordon, Robert Bryarly Gordon (August 6 1855 – January 3 1923) was a U.S. Representative from Ohio.Born at St. Marys Auglaize County Ohio Gordon attended the public schools. He served as Postmaster of St. Marys from 1885 to 1889 as auditor of Auglaize County from 1890 to 1896 and served as delegate to the Democratic National Convention in 1896.Gordon was elected as a Democrat to the Fifty-sixth and Fifty-seventh Congresses (March 4 1899-March 3 1903).
8,Barbul River, The Barbul River is a tributary of the Timiş River in Romania.
2,Han Chiang College, Han Chiang College (槟城韩江学院)is a private college located in Penang Malaysia.Established in July 1999 Han Chiang College (HCC) is a not-for-profit institution of higher learning. It is a Han Chiang School. Han Chiang College is a LCCI Registered Training Centres (RTC) in Malaysia.
10,Cyprus dwarf elephant, The Cyprus dwarf elephant (Palaeoloxodon cypriotes) is an extinct species of elephant related to the living Asian elephant.
9,Chah-e Khurmizi, Chah-e Khurmizi (Persian: چاه خورميزي‎ also Romanized as Chāh-e Khūrmīzī) is a village in Chahak Rural District in the Central District of Khatam County Yazd Province Iran. At the 2006 census its population was 18 in 5 families.
5,Phil Gingrey, John Phillip Phil Gingrey (born July 10 1942) is the U.S. Representative for Georgia's 11th congressional district serving since 2003.[citation needed] He is a member of the Republican Party (GOP). The district is located in the northwestern suburbs of Atlanta. On March 27 2013 Gingrey announced he is an official candidate in the 2014 race for U.S. Senate for his state.
12,Authentic (LL Cool J album), Authentic is the thirteenth studio album by American hip hop recording artist LL Cool J. It was released on April 30 2013 by S-BRO Music Group 429 Records. It is his first album since 2008's Exit 13 and his first to not be released on Def Jam.
11,Bulbophyllum rugosibulbum, Bulbophyllum rugosibulbum is a species of orchid in the genus Bulbophyllum. It is one of several orchids first discovered by the Northern Rhodesian forestry officer Wilfred D. Holmes .
3,James Plunkett, James Plunkett Kelly or James Plunkett (21 May 1920 - 28 May 2003) was an Irish writer. He was educated at Synge Street CBS.Plunkett grew up among the Dublin working class and they along with the petty bourgeoisie and lower intelligentsia make up the bulk of the dramatis personae of his oeuvre.
5,Charles Poulett Thomson 1st Baron Sydenham, Charles Poulett Thomson 1st Baron Sydenham GCB PC (13 September 1799 – 19 September 1841) was a British politician diplomat and the first Governor of the united Province of Canada.
8,McClelland Lake, McClelland Lake is located near Williams in North Central Arizona USA.
8,Valea Rece River (Trotuș), The Valea Rece River (Hungarian: Hidegség-pataka meaning Coldness Creek) is a tributary of the Trotuş River in Romania.
5,Herbert Mntangi, Herbert James Mntangi (born 16 October 1950) is a Tanzanian CCM politician and Member of Parliament for Muheza constituency since 2000.
5,Sharon Clahchischilliage, Sharon E. Clahchischilliage is an American politician and a Republican member of the New Mexico House of Representatives representing District 4 since January 15 2013.
2,Nell Hodgson Woodruff School of Nursing, Nell Hodgson Woodruff School of Nursing is the nursing school of Emory University in Atlanta Georgia. The school awards the Bachelor of Science in Nursing (BSN) Master of Science in Nursing (MSN) Doctor of Nursing Practice (DNP) Doctor of Philosophy in Nursing (PhD). The school is named after Nell Hodgson Woodruff wife of long-time president of The Coca-Cola Company Robert W. Woodruff. Mrs.
4,Tuna Scanlan, Tuna Scanlan ( (1935-07-12) 12 July 1935) born in Apia is a Samoan/New Zealander professional middle/light heavyweight boxer of the 1950s and '60s who won the New Zealand Boxing Association middleweight title and British Commonwealth middleweight title and was a challenger for the Australasian middleweight title against Clive Stewart[1] his professional fighting weight varied from 154 lb (70 kg; 11 st 0 lb) i.e. middleweight to 164 lb (74 kg; 11 st 10 lb) i.e. light heavyweight.
10,Stenaspilatodes, Stenaspilatodes is a genus of moth in the family Geometridae.
11,Grevillea obtusifolia, Grevillea obtusifolia (Obtuse-leaved Grevillea) is a shrub which is endemic to the south-west of Western Australia. It grows up to between 0.5 and 1.5 metres in height and up to 5 metres in width. It produces pink to red flowers between August and November (mid winter to late spring ) in its native range.The species was first formally described by botanist Carl Meissner his description published in Prodromus Systematis Naturalis Regni Vegetabilis in 1856.
13,Stolen Life (1939 film), Stolen Life is a 1939 British drama film directed by Paul Czinner and starring Michael Redgrave Elizabeth Bergner and Wilfrid Lawson. It was adapted from a novel by Karel J. Benes and was remade in 1946 as A Stolen Life. The film score was composed by William Walton.
9,Hunasagi, Hunasagi (Hunsagi Kannada: ಹುಣಸಗಿ ) is a village in the Shorapur taluk of Yadgir district in Karnataka state India.A number of early Palaeolithic sites were found in Hunasagi. Hunasagi is 48 km southwest of the distinct headquarters Yadgir and 20 km from Shorapur. The nearest railhead is in Yadgir.
1,Qliance, Qliance Medical Group is a direct primary care healthcare business based in Seattle Washington USA. It was launched in 2007.
6,Honda HSC, The Honda HSC (Honda Sports Concept) is a concept sports car that was initially unveiled at the 2003 Tokyo Motor Show. Most of the automotive media immediately speculated that it was designed to be a replacement for the Honda NSX although this was never confirmed by Honda.
14,King of Ayodhya, King of Ayodhya (2006) is the sixth and final installment of a six-part series of books written by Ashok Banker which chronicles the events of the Ramayana in a modern retelling of the Indian epic.
6,German submarine U-155 (1941), German submarine U-155 was a Type IXC U-boat of Nazi Germany's Kriegsmarine built for service during World War II. Her keel was laid down on 1 October 1940 by AG Weser in Bremen as 'werk' 997. She was launched on 12 May 1941 and commissioned on 23 August with Kapitänleutnant Adolf Cornelius Piening in command.
7,Portuguese Church (Mumbai), The Church of Our Lady of Salvation popularly referred to as Portuguese Church is one of the oldest churches in Mumbai (formerly Bombay) India. Located in Dadar it was originally built in 1596 by the Portuguese Franciscans who called it Nossa Senhora de Salvação. The present structure designed by famous Indian architect Charles Correa was constructed between 1974 and 1977.
1,M.C. Dean Inc., M.C. Dean Inc. is a design-build and systems integration corporation for complex mission-critical organizations. Started in 1949 as a small electrical firm it has since grown to 3800 employees and a revenue of approximately $810 million in 2011 It has headquarteres in Dulles Virginia and over 30 other offices including branches in Atlanta GA;Tampa Florida; Stuttgart Germany; and Dallas Texas.
14,Hate (comics), Hate is a comic book by writer-artist Peter Bagge. First published by Fantagraphics in 1990 it ran for 30 issues and was one of the best-selling alternative comics of the 1990s at its height selling 30000 copies an issue.
14,Leader Spirit, The Leader-Spirit is a community newspaper serving the communities of Dresden Bothwell and Thamesville Ontario. Its first issue was published on Dec. 31 2008. The Leader-Spirit is a tabloid and is a paid paper that goes to about 2000 subscribers. The Leader-Spirit is an amalgamation of the Dresden Leader and the Spirit of Bothwell.
6,Piper PA-34 Seneca, The Piper PA-34 Seneca is an American twin-engined light aircraft produced by Piper Aircraft since 1971 and still in production in 2012.The Seneca is primarily used for personal and business flying.
1,Submerged Records, www.myspace.com/submergedrecordsSubmerged RecordsSubmerged Records is an independent record label based in Vancouver BC Canada. It was founded in 2005 by members of the band Hinterland. Submerged specializes in what it calls dreamo an invented genre that blends elements of dreampop shoegaze space rock post-rock and related styles. Artists on Submerged Records include Hinterland Storyboard Way to Go Einstein and Windows '78.
9,Kiełpino Pomeranian Voivodeship, Kiełpino [kʲɛu̯ˈpinɔ] is a village in the administrative district of Gmina Kartuzy within Kartuzy County Pomeranian Voivodeship in northern Poland. It lies approximately 6 kilometres (4 mi) south of Kartuzy and 28 km (17 mi) west of the regional capital Gdańsk.For details of the history of the region see History of Pomerania.The village has a population of 2693.
9,Qavshoq, Qavshoq (Persian: قاوشق‎ also Romanized as Qāvshoq; also known as Qavshowq) is a village in Siyah Mansur Rural District in the Central District of Bijar County Kurdistan Province Iran. At the 2006 census its population was 56 in 13 families.
11,Ampelocissus gracilipes, Ampelocissus gracilipes also known as Abourbee (Akan-Twi) is a climbing vine or liana in the Grape family of tropical western Africa (Ghana to Liberia) in densely vegative forested areas.The stems which are semi-woody thick and sturdy but not very hard start out with a dense covering of washy-brown hairs giving way over time to a complexion of small warts. Both flowers and fruits are red.
11,Pelexia, Pelexia is a genus of flowering plants from the orchid family Orchidaceae.
13,Melody of Love (1932 film), Melody of Love (German: Melodie der Liebe) is a 1932 German operetta film directed by Georg Jacoby and starring Richard Tauber Petra Unkel and S.Z. Sakall. It premiered on 24 April 1932. It is also known in English by the alternative title Right to Happiness.
3,Phyllis Rose, Phyllis Rose (born October 26 1942) is an American literary critic essayist biographer and educator.
9,Chavor, Chavor (Persian: چاور‎ also Romanized as Chāvor; also known as Chāveh Chīr Chūvīr Chuwir and Jāvor) is a village in Zanjanrud-e Pain Rural District Zanjanrud District Zanjan County Zanjan Province Iran. At the 2006 census its population was 16 in 5 families.
14,Bobo (magazine), Bobo is a monthly Dutch magazine for children. The magazine follows the adventures of the protagonist Bobo a nine years old blue rabbit. Every month there is a new theme. The magazine consists of stories and comics. The purpose of the magazine is learn and play for an audience primarily consisting in children aged 3 to 6 years and it is for the most part distributed through primary schools. It's published by Blink Publishers. Since 2010 Bobo has developed into a crossmedial brand.
13,Surveillance (2008 film), Surveillance is an independent thriller that is set in the Nebraska plains of the United States (US). The film is directed by Jennifer Lynch and stars Julia Ormond Bill Pullman Michael Ironside and French Stewart. The film premiered out of competition and appeared in a midnight slot at the 2008 Cannes Film Festival. Surveillance is Lynch's second feature film following a fifteen-year break after Boxing Helena.
5,John Diehl (politician), John J. Diehl Jr. (born August 28 1965) is an American attorney and a Republican member of the Missouri House of Representatives. He has represented the 89th district which includes Ballwin Chesterfield Country Life Acres Crystal Lake Park Des Peres Frontenac Huntleigh Kirkwood Ladue Manchester Town and Country since 2013 and currently serves as Majority Floor Leader.
13,Why Men Leave Home, Why Men Leave Home is a 1924 silent comedy-drama film directed by John M. Stahl directed and stars Lewis Stone and Helene Chadwick. Produced by Louis B. Mayer and released through First National Pictures (then known as Associated First National) the film is based on the 1922 play of the same name by Avery Hopwood. The film was released in Germany in 1925 by UFA.A print is preserved by MGM.
8,Forbes River (New Zealand), The Forbes River is a river in the Canterbury Region of New Zealand. It arises in the Two Thumb Range and flows east into the Havelock River which joins the Rangitira River which flows into the Pacific Ocean. The river was named by Julius von Haast after James David Forbes professor of Natural Philosophy at Edinburgh University in the mid 19th century.
9,Gora Padao, Gora Padao is an Indian village 5 km south of Haldwani is named after a British camp/post at that location in the mid-19th century. In 1856 Henry Ramsay took over as the Commissioner of Kumaon. The village population is about 5000. The landmark of this village is 'Chandrawati Tewari Girls College' named after the aunt of Narayan Dutt Tiwari one of the top political leaders of India and former Chief Minister of Uttarakhand.
13,Vegetarian Cannibal, Vegetarian Cannibal (Croatian: Ljudožder vegetarijanac) is a 2012 Croatian drama film directed by Branko Schmidt. It was released on March 1 2012 and stars Rene Bitorajac as an immoral doctor.
13,Without Dowry, Without Dowry (Russian: Бесприданница) is a 1937 Soviet film directed by Yakov Protazanov based on the eponymous play by Alexander Ostrovsky.
1,Society of Christian Philosophers, The Society of Christian Philosophers is a society associated with the American Philosophical Association. The society was founded in 1978. Past Presidents include William Alston Robert Merrihew Adams Alvin Plantinga Marilyn McCord Adams George I. Mavrodes Nicholas Wolterstorff Eleonore Stump C. Stephen Evans Robert Audi and Linda Zagzebski. Michael C.
11,Imerinaea, Imerinaea is a monotypic genus of flowering plants from the orchid family Orchidaceae. The single species is Imerinaea madagascarica and is endemic to northern Madagascar. It is lithophilic and grows in shady areas under trees among mosses and lichens.
12,Slow Rollers, Slow Rollers is a compilation album of ballads by The Rolling Stones released in 1981. It is a follow-up to the compilation of rock and roll numbers a year earlier called Solid Rock. The main feature is the Italian version of As Tears Go By which sees its first international release with this album. All other tracks were previously released in all markets. This is the last Decca compilation of Rolling Stones recordings.
4,Mike Getchell, Mike Getchell is a retired American soccer midfielder who played professionally in the Western Soccer Alliance Mexican Primera División Major Indoor Soccer League and American Professional Soccer League. He is the Managing Director Latin America for DHR International.
12,The Golden Hits of Nora Aunor, The Golden Hits of Nora Aunor is the third studio album by Filipino singer-actress Nora Aunor released in 1971 by Alpha Records Corporation in the Philippines in LP format and later released in 1999 in a compilation/ cd format. The album contains 12 tracks among them is  Love Story which was made popular by Andy Williams in 1970..
1,Alltech, Alltech is an American animal health and nutrition company headquartered in Lexington Kentucky. Alltech develops agricultural products for use in both livestock and crop farming as well as products for the food industry. Alltech operates under three main divisions: animal nutrition and health; crop science; and food and beverage.
